profile	date	followers	following	tweets
80676829	13/03/2020	163547	2498	97905
955239446	13/03/2020	92289	1248	7680
2280346687	13/03/2020	80878	522	3667
1193947151971311618	13/03/2020	19772	202	423
202086424	13/03/2020	1077292	767	7653
466781777	13/03/2020	209142	1897	16739
80676829	14/03/2020	163699	2499	97937
955239446	14/03/2020	92619	1248	7685
2280346687	14/03/2020	81604	522	3669
1193947151971311618	14/03/2020	19897	202	431
202086424	14/03/2020	1079046	767	7653
466781777	14/03/2020	209558	1897	16748
80676829	15/03/2020	164115	2501	98004
955239446	15/03/2020	93446	1248	7691
2280346687	15/03/2020	83452	522	3670
1193947151971311618	15/03/2020	20228	202	448
202086424	15/03/2020	1083101	767	7654
466781777	15/03/2020	210642	1897	16758
80676829	16/03/2020	164308	2503	98033
955239446	16/03/2020	93855	1248	7693
2280346687	16/03/2020	84283	522	3672
1193947151971311618	16/03/2020	20527	202	453
202086424	16/03/2020	1085240	767	7655
466781777	16/03/2020	211136	1898	16763
80676829	17/03/2020	164520	2501	98051
955239446	17/03/2020	94262	1247	7697
2280346687	17/03/2020	85169	523	3675
1193947151971311618	17/03/2020	20763	202	464
202086424	17/03/2020	1087247	767	7655
466781777	17/03/2020	211674	1898	16780
80676829	18/03/2020	164775	2499	98091
955239446	18/03/2020	94974	1248	7723
2280346687	18/03/2020	86389	522	3679
1193947151971311618	18/03/2020	21180	202	494
202086424	18/03/2020	1090085	767	7656
466781777	18/03/2020	212434	1898	16831
80676829	19/03/2020	164816	2496	98104
955239446	19/03/2020	95045	1246	7723
2280346687	19/03/2020	86540	523	3679
1193947151971311618	19/03/2020	21221	202	495
202086424	19/03/2020	1090445	767	7656
466781777	19/03/2020	212531	1897	16838
80676829	20/03/2020	164950	2498	98143
955239446	20/03/2020	95357	1248	7729
2280346687	20/03/2020	87062	523	3682
1193947151971311618	20/03/2020	21316	202	531
202086424	20/03/2020	1091495	768	7657
466781777	20/03/2020	212888	1898	16857
80676829	21/03/2020	165101	2499	98168
955239446	21/03/2020	95747	1248	7736
2280346687	21/03/2020	87642	523	3686
1193947151971311618	21/03/2020	21462	202	538
202086424	21/03/2020	1092788	767	7657
466781777	21/03/2020	213255	1898	16886
80676829	22/03/2020	165291	2501	98186
955239446	22/03/2020	96143	1247	7739
2280346687	22/03/2020	88332	523	3688
1193947151971311618	22/03/2020	21654	202	546
202086424	22/03/2020	1094053	767	7657
466781777	22/03/2020	213705	1898	16893
80676829	23/03/2020	165490	2501	98200
955239446	23/03/2020	96591	1247	7745
2280346687	23/03/2020	89136	523	3691
1193947151971311618	23/03/2020	21850	202	553
202086424	23/03/2020	1095547	767	7657
466781777	23/03/2020	214170	1898	16904
80676829	24/03/2020	165657	2503	98227
955239446	24/03/2020	96942	1248	7755
2280346687	24/03/2020	89686	523	3694
1193947151971311618	24/03/2020	21974	203	592
202086424	24/03/2020	1096610	767	7658
466781777	24/03/2020	214491	1898	16937
80676829	25/03/2020	165829	2505	98279
955239446	25/03/2020	97308	1249	7758
2280346687	25/03/2020	90304	522	3695
1193947151971311618	25/03/2020	22136	203	602
202086424	25/03/2020	1097843	768	7658
466781777	25/03/2020	214881	1898	16958
80676829	26/03/2020	166259	2506	98388
955239446	26/03/2020	98074	1249	7772
2280346687	26/03/2020	91552	521	3699
1193947151971311618	26/03/2020	22679	203	624
202086424	26/03/2020	1099785	767	7659
466781777	26/03/2020	215547	1900	16996
80676829	27/03/2020	166613	2503	98435
955239446	27/03/2020	98432	1248	7780
2280346687	27/03/2020	92095	521	3699
1193947151971311618	27/03/2020	22841	202	632
202086424	27/03/2020	1100557	767	7660
466781777	27/03/2020	215748	1901	17038
80676829	28/03/2020	166719	2500	98440
955239446	28/03/2020	98608	1248	7785
2280346687	28/03/2020	92335	521	3700
1193947151971311618	28/03/2020	22882	202	671
202086424	28/03/2020	1100825	767	7662
466781777	28/03/2020	215877	1900	17041
80676829	29/03/2020	167145	2489	98490
955239446	29/03/2020	99257	1248	7790
2280346687	29/03/2020	93041	521	3701
1193947151971311618	29/03/2020	24494	203	685
202086424	29/03/2020	1101731	767	7663
466781777	29/03/2020	216349	1900	17067
80676829	30/03/2020	167546	2488	98527
955239446	30/03/2020	99961	1247	7799
2280346687	30/03/2020	93922	521	3704
1193947151971311618	30/03/2020	25830	203	691
202086424	30/03/2020	1102950	767	7664
466781777	30/03/2020	216895	1900	17069
80676829	31/03/2020	167840	2489	98565
955239446	31/03/2020	100428	1247	7803
2280346687	31/03/2020	94526	522	3705
1193947151971311618	31/03/2020	26486	203	708
202086424	31/03/2020	1104362	767	7666
466781777	31/03/2020	217276	1900	17084
80676829	01/04/2020	168169	2492	98618
955239446	01/04/2020	100940	1248	7810
2280346687	01/04/2020	95180	522	3708
1193947151971311618	01/04/2020	27069	203	719
202086424	01/04/2020	1105764	766	7666
466781777	01/04/2020	217654	1899	17101
80676829	02/04/2020	168459	2492	98638
955239446	02/04/2020	101340	1248	7819
2280346687	02/04/2020	95691	522	3709
1193947151971311618	02/04/2020	27509	203	729
202086424	02/04/2020	1106846	766	7666
466781777	02/04/2020	217954	1899	17111
80676829	03/04/2020	168697	2493	98653
955239446	03/04/2020	101793	1248	7825
2280346687	03/04/2020	96176	521	3714
1193947151971311618	03/04/2020	27929	203	740
202086424	03/04/2020	1107836	766	7666
466781777	03/04/2020	218332	1900	17129
80676829	04/04/2020	168979	2491	98687
955239446	04/04/2020	102259	1249	7829
2280346687	04/04/2020	96744	522	3718
1193947151971311618	04/04/2020	28543	203	759
202086424	04/04/2020	1108819	767	7666
466781777	04/04/2020	218706	1900	17149
80676829	05/04/2020	169396	2491	98730
955239446	05/04/2020	102780	1256	7836
2280346687	05/04/2020	97363	522	3721
1193947151971311618	05/04/2020	29272	203	772
202086424	05/04/2020	1109957	767	7666
466781777	05/04/2020	219094	1901	17152
80676829	06/04/2020	169610	2491	98753
955239446	06/04/2020	103061	1256	7836
2280346687	06/04/2020	97744	522	3721
1193947151971311618	06/04/2020	29550	203	775
202086424	06/04/2020	1110507	767	7666
466781777	06/04/2020	219289	1901	17153
80676829	07/04/2020	170107	2491	98827
955239446	07/04/2020	103481	1256	7851
2280346687	07/04/2020	98270	522	3725
1193947151971311618	07/04/2020	29956	203	782
202086424	07/04/2020	1111294	767	7670
466781777	07/04/2020	219612	1901	17183
80676829	08/04/2020	170563	2491	98870
955239446	08/04/2020	103874	1256	7862
2280346687	08/04/2020	98732	522	3726
1193947151971311618	08/04/2020	30556	203	796
202086424	08/04/2020	1111963	766	7671
466781777	08/04/2020	219927	1900	17196
80676829	09/04/2020	170832	2491	98894
955239446	09/04/2020	104209	1257	7871
2280346687	09/04/2020	99164	522	3728
1193947151971311618	09/04/2020	31048	203	806
202086424	09/04/2020	1112640	766	7671
466781777	09/04/2020	220136	1900	17243
80676829	10/04/2020	171072	2489	98943
955239446	10/04/2020	104517	1257	7871
2280346687	10/04/2020	99493	521	3731
1193947151971311618	10/04/2020	31406	203	815
202086424	10/04/2020	1113319	765	7671
466781777	10/04/2020	220400	1900	17267
80676829	11/04/2020	171279	2489	98950
955239446	11/04/2020	104819	1257	7872
2280346687	11/04/2020	99892	520	3733
1193947151971311618	11/04/2020	31701	204	819
202086424	11/04/2020	1113981	765	7672
466781777	11/04/2020	220677	1902	17279
80676829	12/04/2020	171474	2489	98940
955239446	12/04/2020	105143	1257	7873
2280346687	12/04/2020	100225	520	3735
1193947151971311618	12/04/2020	32036	204	820
202086424	12/04/2020	1114511	765	7673
466781777	12/04/2020	220966	1902	17282
80676829	13/04/2020	171659	2490	98952
955239446	13/04/2020	105444	1257	7874
2280346687	13/04/2020	100545	520	3736
1193947151971311618	13/04/2020	32307	204	823
202086424	13/04/2020	1115157	765	7674
466781777	13/04/2020	221223	1902	17283
80676829	14/04/2020	171835	2491	98958
955239446	14/04/2020	105807	1258	7874
2280346687	14/04/2020	100916	520	3737
1193947151971311618	14/04/2020	32629	204	830
202086424	14/04/2020	1115799	765	7675
466781777	14/04/2020	221510	1902	17289
